PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-19.89137121,17.26186385,-15.89933869,24251.49701,-75.77336261,-24.64959993,-4.822841085,-48.81090303,-1.819760105,-29.72242533,
-17.6401668,5.000380127,-14.77170743,24351.29741,-77.21916482,-18.96853577,1.044614891,-51.82127747,-2.895211376,-31.59359525,
-14.83576131,9.284549578,-13.31640903,24451.0978,-75.51373482,-21.75003997,-2.000027357,-43.84604771,-1.05507682,-32.35303396,
-16.13708083,5.4721068,-20.00340594,24550.8982,-70.98645565,-25.94391498,-5.005328773,-52.65832619,-1.159973796,-31.47057937,
-18.2892976,5.122580384,-19.31733673,24650.6986,-82.79898421,-22.36588019,-5.954324316,-45.41798545,-0.787413064,-29.07439485,
-6.439440239,-10.16887483,-22.94676467,24750.499,-83.88133204,-21.74902215,-1.572814345,-38.94469773,-0.810637248,-28.93468987,
-13.70630236,-2.086936329,-15.30153482,24850.2994,-73.78215001,-23.7474754,-3.624273647,-56.22894135,-1.811316997,-30.56454561,
-15.91843765,2.112681378,-18.09094169,24950.0998,-68.41404497,-17.02623359,-6.004227588,-49.53079498,-4.169388,-27.3982746,
-13.79324608,5.185753222,-14.52243369,25049.9002,-65.11157616,-16.69771302,-6.79381547,-46.06919646,-3.039578114,-29.80884097,
-12.52659178,3.122515107,-23.94460415,25149.7006,-73.39736005,-23.62168539,-3.332769364,-49.91986776,-2.542237974,-36.38588453,
-10.73189403,0.75357971,-26.44021892,25249.501,-78.61914472,-24.35028329,-0.055204886,-50.20190453,-0.316254795,-33.22588614,
-6.723938981,-7.4130652,-30.33220066,25349.3014,-71.98207853,-16.98306382,-5.843210444,-49.05785454,-2.279056265,-38.20185162,
6.154974096,7.798262781,-16.65275384,25449.1018,-77.53373149,-28.33305466,-0.824087755,-58.37147467,-2.306940677,-36.9790413,
0.625003121,1.85075878,-18.97348619,25548.9022,-71.30354381,-21.65773157,-2.517154219,-49.23070925,-2.711274414,-29.62238148,
